Bus,ZoneBus,Xcoord,Ycoord,Country,lat_known,lon_known,lat_pred,lon_pred
A-35,AT,748.78061006,547.13240566,A,,,48.8656880564753,14.1686996694334
A-8,AT,783.83001709,520.66497803,A,,,48.4427299773784,14.7976973317218
A-32,AT,784.61999512,419.84248352,A,,,46.963083575839,14.3880301749117
A_Burs,AT,565.61999512,425.85749817,A,47.1427880247755,9.81080638278512,47.2406658662434,9.95628430108618
A-21,AT,645.7199707,449.03251648,A,,,47.5146792081905,11.6637218971985
A-19,AT,658.14001465,457.25248718,A,,,47.6252914139772,11.9464005578659
A-22,AT,854.65002441,448.37251282,A,,,47.3193855564761,15.9440892260028
A-29,AT,609.08001709,423.01501465,A,,,47.1608783724201,10.8320013432424
A-6,AT,759.34997559,529.50750732,A,,,48.5962350751051,14.3204417546677
A-15,AT,879.82000732,482.65498352,A,,,47.796518743705,16.6259926791361
A-33,AT,580.7199707,416.39250183,A,,,47.0867768347491,10.236038765975
A-36,AT,893.97497559,524.25,A,,,48.3888613571098,17.1244456248733
A-2,AT,858.62746855,549.37648113,A,,,48.7896602678713,16.5008237511545
A-12,AT,718.94000244,499.42501831,A,,,48.1922096543766,13.3565571124855
A-16,AT,814.92999268,472.99497986,A,,,47.7150493174253,15.2388287266367
A-34,AT,797.47998047,414.41999817,A,,,46.8725786719975,14.6258894104069
A-30,AT,713.13000488,422.09999084,A,,,47.0577309834691,12.9443138409587
A-18,AT,710,457,A,,,47.5750428249264,13.0114304465785
A-31,AT,811.69000244,421.25248718,A,,,46.9604895138035,14.9441264574555
A_Westti,AT,607,438.75,A,47.2430497259653,10.8724084092637,47.3963691755994,10.838200299052
A-11,AT,867.2199707,508.60501099,A,,,48.1865749004683,16.4884646565579
A-7,AT,808.84002686,526.16249084,A,,,48.4991509275864,15.3461033647187
A-20,AT,668.13000488,450.81752014,A,,,47.5211632479047,12.1293743989778
A-1,AT,879,552,A,,,48.8076655757449,16.944371222542
A-17,AT,806.95001221,460.65751648,A,,,47.5416553249392,15.0200573628368
A-14,AT,780.73999023,483.29251099,A,,,47.8973676124096,14.5758611568237
A-27,AT,819.51000977,431.64001465,A,,,47.1057565729193,15.1493009269789
A-4,AT,879.63000488,538.89001465,A,,,48.6160284404237,16.8942497859342
A-5,AT,791.72998047,529.74000549,A,,,48.5681714395807,15.0020920231265
A-13,AT,772.29998779,498.01501465,A,,,48.121307717762,14.4620301409586
A-24,AT,662.63000488,438.19500732,A,,,47.3393164911326,11.9731202523644
A-25,AT,554.15002441,433.26750183,A,,,47.3610431963046,9.74315427293931
A-26,AT,753.83001709,432.26998901,A,,,47.1721991134145,13.8126443898414
A-3,AT,840.0250001,544,A,,,48.7295691280052,16.0827489798917
A_st.Pet,AT,713.85998535,519.31498718,A,48.2544948882771,13.0816872428268,48.4901968267525,13.3257640123221
A-10,AT,758.16998291,513.60749817,A,,,48.363721737558,14.2311322122953
B_Aubang,BE,347.17999268,571.11749268,B,49.566891422987,5.79563838355796,49.6260443895391,5.7147711443395
B_Moncea,BE,297.5,610.5,B,50.3936958462059,4.37155851413527,50.2740106328024,4.69988137379045
B-2,BE,267.73999023,668.73751831,B,,,51.1908466316931,4.11080854426774
B_Zandvl,BE,275,681.75,B,51.3696216367075,4.24824099837562,51.3804807733663,4.28218015047144
B_meerho,BE,323,673.5,B,51.1071076318313,5.06341042646471,51.2013017904689,5.32800003206067
B_Achene,BE,310,609.75,B,50.2606602996777,5.05541005312141,50.2494427992011,4.96829739457978
B-10,BE,270.98001099,648.20251465,B,,,50.8750952431517,4.1630420485576
B-13,BE,275.01998901,627.03749084,B,,,50.5490490483315,4.23114686693832
B_15,BE,319,624.75,B,,,50.4672034248646,5.18050993717824
B-6,BE,246,662,B,,,51.1125262604039,3.62921486525865
B-3,BE,235.41000366,667.22250366,B,,,51.2038476277847,3.40113334893379
B-7,BE,321.32998657,655.79251099,B,,,50.9349409474413,5.26939596137284
B-8,BE,281,652.5,B,,,50.9294022844719,4.38555064577908
B-18,BE,349.79998779,620.22001648,B,,,50.3657423200145,5.84042639533129
B-20,BE,341.60998535,597.98249817,B,,,50.0380851893611,5.63300213206419
B-9,BE,222.33000183,648.38250732,B,,,50.931106526279,3.10324010492176
B-12Avel,BE,234.36000061,638.59501648,B,50.782578154323,3.46906175500141,50.7687903266298,3.35870350518325
B-17,BE,291.63000488,621.10501099,B,,,50.4411793324985,4.58453571443893
B-15,BE,331.63000488,623.58000183,B,,,50.4359710869154,5.4522343655637
B-5,BE,310.63000488,664.74751282,B,,,51.082489944288,5.04623924318736
B-4,BE,284.82998657,666.17248535,B,,,51.1328194814536,4.48282657639191
B-11,BE,341.36999512,642.55499268,B,,,50.7125946454128,5.6888587502045
B_new1,BE,338.16670514,667.66800734,B,,,51.0960572615777,5.65304110582667
B-16,BE,300.92999268,623.16751099,B,,,50.4625441972558,4.78780897024934
D-92,DE/LX,648.58001709,711.86997986,D,,,51.4045233123018,12.602891660142
D-96,DE/LX,528.59002686,709.63499451,D,,,51.5104345598396,9.93370861255361
D-93,DE/LX,362.88000488,710.25,D,,,51.7117005863731,6.25874876685853
D-94,DE/LX,709.25,710.22001648,D,,,51.3097654260583,13.9434138451847
D-202,DE/LX,584.90002441,522.03749084,D,,,48.6546776223176,10.6313901212036
D-91,DE/LX,445.41000366,713.21250916,D,,,51.6605317734035,8.09585271288671
D-90,DE/LX,507.51998901,714.72001648,D,,,51.6108917909536,9.47872850528541
D-95,DE/LX,398.97000122,709.92750549,D,,,51.665007833769,7.05890236037893
D-79,DE/LX,602.13000488,727.67248535,D,,,51.693224546059,11.6200437598623
D-134,DE/LX,589.04998779,656.31752014,D,,,50.6475205132365,11.1167223594264
D-5,DE/LX,598.87703244,899.94003296,D,,,54.2570479391004,12.069397534545
D-9,DE/LX,610.4699707,873.96002197,D,,,53.8555667913052,12.2601386216219
D-4,DE/LX,513.96002197,901.04251099,D,,,54.3886410143062,10.0842231815291
D-11,DE/LX,536.89001465,869.00253296,D,,,53.879342017522,10.5369211188283
D-14,DE/LX,510.94000244,864.44998169,D,,,53.8456200776602,9.9233981158685
D-3,DE/LX,659.69000244,902.10754395,D,,,54.206684414128,13.5004482560572
D-17,DE/LX,526.9699707,849.98995972,D,,,53.6085181914805,10.2578900067966
D-16,DE/LX,501,852,D,,,53.6724535200416,9.66311903870261
D_Eichst,DE/LX,455,477.75,D,48.099167,7.753333,48.1151948355557,7.81395937735884
E-220,DE/LX,489,479.22001648,D,,,48.1059829803206,8.52073184972888
D-22,DE/LX,423.83380309,840.55499268,D,,,53.6010741167375,7.85876250335571
D-2,DE/LX,641.95001221,912.54748535,D,,,54.3854501840521,13.1194348839352
D_leupol,DE/LX,589.54998779,468.11251831,D,47.738056,10.363056,47.8483172620702,10.5687884243435
D-229,DE/LX,369,607.5,D,,,50.153221986224,6.23558408792559
D-214,DE/LX,627.38000488,494.79748535,D,,,48.2097192120906,11.434778403049
D-213,DE/LX,570.91998291,496.01248169,D,,,48.2806576177358,10.2640394249472
E-211,DE/LX,546.11999512,506.56498718,D,,,48.4612948949347,9.77645763156359
D-210,DE/LX,604.86999512,508.20748901,D,,,48.429986100285,11.0077815444066
D-26,DE/LX,446.38000488,826.3425293,D,,,53.3584474377547,8.34885590294259
D-31,DE/LX,456.17001343,812.12997437,D,,,53.1326152418314,8.54341707672143
D-208,DE/LX,503.32000732,510.01501465,D,,,48.5534889003745,8.89142238991234
D-36,DE/LX,471.26000977,805.21499634,D,,,53.0098572178241,8.87287077300872
D-38,DE/LX,663.36999512,804.28500366,D,,,52.7545223749481,13.2496013076873
D-201,DE/LX,540.84002686,522.52500916,D,,,48.7044356837098,9.70862671292254
D-70,DE/LX,633.4699707,742.27500916,D,,,51.8728102200323,12.3663900239703
D-39,DE/LX,656.72998047,804.02252197,D,,,52.7589808424445,13.0973616364958
D-25,DE/LX,607.10998535,826.85247803,D,,,53.1603878222509,12.0368285807687
D-200,DE/LX,472.29000854,524.55747986,D,,,48.8010383795332,8.27522907776728
D-207,DE/LX,628.65002441,513.1875,D,,,48.4812495333953,11.5204356813147
D-219,DE/LX,579.29998779,480.60749817,D,,,48.0435640567584,10.3936593625149
D-44,DE/LX,396.72000122,792.28500366,D,,,52.9087366258143,7.15111223808382
D-43,DE/LX,476.77999878,794.27252197,D,,,52.8389208419636,8.97418782454627
D-46,DE/LX,739.54998779,783.88504028,D,,,52.3586168539602,14.9056685443072
D-48,DE/LX,400.04998779,779.15249634,D,,,52.7067331496356,7.20381030252471
D-47,DE/LX,671.3459319,780.83248901,D,,,52.3977427381479,13.3493856698837
D-186,DE/LX,512.77001953,553.74751282,D,,,49.1982842267101,9.19708439229013
D-192,DE/LX,470.01247962,540.17248535,D,,,49.037372154468,8.26175437655172
D-52,DE/LX,607.90997314,770.38504028,D,,,52.320753810888,11.8808190263038
