Generator,GeneratorType,BusGenerator,Capacity,FixedCost,VariableCost,Technology,Country
Mellach Fernheizkraftwerk,SLOW,A-27,246.0,46286.0,51.2,Coal,AT
Mellach Gaskombikraftwerk,SLOW,A-27,832.0,46286.0,53.08,Coal,AT
Mellach Fernheizkraftwerk,SLOW,A-27,246.0,9333.0,144.51,Oil,AT
Mellach Gas-Kombikraftwerk,SLOW,A-27,832.0,16500.0,44.31,CCGT,AT
Simmering 1,SLOW,A-11,710.0,16500.0,45.76,CCGT,AT
Timelkam,SLOW,A-12,405.0,16500.0,43.62,CCGT,AT
Simmering 3,SLOW,A-11,350.0,16500.0,44.8,CCGT,AT
Linz-Mitte Fernheizkraftwerk,SLOW,A-10,217.0,16500.0,43.62,CCGT,AT
Linz-SÃ¼d Fernheizkraftwerk,SLOW,A-10,192.0,16500.0,42.81,CCGT,AT
Korneuburg,SLOW,A-11,150.0,16500.0,43.8,CCGT,AT
Salzburg-Mitte Heizkraftwerk,SLOW,A-18,83.7,16500.0,43.63,CCGT,AT
Laakirchen,SLOW,A-12,61.0,16500.0,43.97,CCGT,AT
Simmering 2,SLOW,A-11,60.0,16500.0,44.43,CCGT,AT
Wels Fernheizkraftwerk,SLOW,A-10,47.0,16500.0,44.59,CCGT,AT
TheiÃ,SLOW,A-7,800.0,9333.0,85.8,OCGT,AT
Donaustadt,SLOW,A-11,395.0,9333.0,86.57,OCGT,AT
Salzburg-Nord Heizkraftwerk,SLOW,A-18,13.5,9333.0,89.13,OCGT,AT
AWIRS 4,SLOW,B-15,95.0,113160.0,38.64,Other,BE
RODENHUIZE 4,SLOW,B-6,268.0,113160.0,38.64,Other,BE
Zelzate 2 Knippegroen,FAST,B-6,315.0,9333.0,151.55,Oil,BE
Marcinelle Energie (Carsid),FAST,B-17,413.0,16500.0,65.7,CCGT,BE
Amercoeur 1 R TGV,FAST,B-17,451.0,16500.0,62.55,CCGT,BE
HERDERSBRUG STEG,FAST,B-3,465.0,16500.0,63.15,CCGT,BE
SAINT-GHISLAIN STEG,FAST,B-13,350.0,16500.0,64.38,CCGT,BE
Zandvliet Power,FAST,B_Zandvl,386.2,16500.0,64.07,CCGT,BE
RINGVAART STEG,FAST,B-6,385.0,16500.0,67.01,CCGT,BE
INESCO WKK,FAST,B_Zandvl,138.0,16500.0,64.31,CCGT,BE
T-power Beringen,FAST,B-5,422.0,16500.0,64.71,CCGT,BE
Aalst Syral GT,FAST,B-10,43.0,9333.0,112.82,OCGT,BE
DROGENBOS GT1,FAST,B-10,150.0,9333.0,103.37,OCGT,BE
DROGENBOS GT2,FAST,B-10,150.0,9333.0,105.18,OCGT,BE
Lillo Degussa GT1,FAST,B_Zandvl,43.0,9333.0,105.84,OCGT,BE
Lillo Degussa GT2,FAST,B_Zandvl,32.0,9333.0,107.79,OCGT,BE
VILVOORDE GT,FAST,B-8,255.0,9333.0,114.73,OCGT,BE
Wilmarsdonk Total GT1,FAST,B_Zandvl,43.0,9333.0,106.18,OCGT,BE
Wilmarsdonk Total GT2,FAST,B_Zandvl,43.0,9333.0,106.92,OCGT,BE
Wilmarsdonk Total GT3,FAST,B_Zandvl,43.0,9333.0,109.71,OCGT,BE
Zwijndrecht Lanxess GT,FAST,B-2,43.0,9333.0,111.52,OCGT,BE
ANGLEUR TG 41,FAST,B-11,64.0,9333.0,106.97,OCGT,BE
ANGLEUR TG 42,FAST,B-11,64.0,9333.0,107.56,OCGT,BE
EDF Luminus Seraing GT1,FAST,B-11,150.0,9333.0,105.4,OCGT,BE
EDF Luminus Seraing GT2,FAST,B-11,150.0,9333.0,105.44,OCGT,BE
HAM31,FAST,B-6,58.0,9333.0,106.85,OCGT,BE
HAM32,FAST,B-6,58.0,9333.0,107.55,OCGT,BE
Jemeppe-sur-Sambre GT1,FAST,B-17,48.0,9333.0,110.04,OCGT,BE
Jemeppe-sur-Sambre GT2,FAST,B-17,48.0,9333.0,109.87,OCGT,BE
Aalst Syral ST,FAST,B-10,5.0,16500.0,68.27,CCGT,BE
DROGENBOS ST,FAST,B-10,160.0,16500.0,63.21,CCGT,BE
Lillo Degussa ST,FAST,B_Zandvl,10.0,16500.0,65.63,CCGT,BE
Zwijndrecht Lanxess ST,FAST,B-2,15.0,16500.0,63.29,CCGT,BE
Jemeppe-sur-Sambre ST,FAST,B-17,10.0,16500.0,63.38,CCGT,BE
Beveren Ineos Phenolchemie,FAST,B-2,23.8,16500.0,63.51,CCGT,BE
Lanaken Sappi,FAST,B-11,43.0,16500.0,61.54,CCGT,BE
Oorderen Bayer,FAST,B_Zandvl,43.0,16500.0,66.93,CCGT,BE
Oud-Lillo Monsanto,FAST,B_Zandvl,43.0,16500.0,63.81,CCGT,BE
Scheldelaan Exxonmobil,FAST,B-5,140.0,16500.0,64.99,CCGT,BE
Zeebrugge 2 Fluxys,FAST,B-3,40.0,16500.0,65.03,CCGT,BE
Eurosilo,FAST,B-6,12.9,16500.0,65.7,CCGT,BE
ANGLEUR TG31,FAST,B-11,25.0,9333.0,109.77,OCGT,BE
ANGLEUR TG32,FAST,B-11,25.0,9333.0,106.91,OCGT,BE
EDF Luminus Izegem WKK,FAST,B-9,20.0,9333.0,108.07,OCGT,BE
SERAING TV,FAST,B-11,170.0,16500.0,65.51,CCGT,BE
Biostoom Oostende,SLOW,B-3,19.4,64048.56,23.18,OtherCC,BE
LANGERBRUGGE STORA ST 1,SLOW,B-6,11.0,113160.0,38.64,Other,BE
LANGERBRUGGE STORA ST 2,SLOW,B-6,44.7,113160.0,38.64,Other,BE
Schaerbeek Siomab ST1,SLOW,B-8,15.0,113160.0,38.64,Other,BE
Schaerbeek Siomab ST2,SLOW,B-8,15.0,113160.0,38.64,Other,BE
Schaerbeek Siomab ST3,SLOW,B-8,15.0,113160.0,38.64,Other,BE
Wilrijk Isvag,SLOW,B-4,12.0,113160.0,38.64,Other,BE
Electrawinds biomassa Oostende,SLOW,B-3,18.0,113160.0,38.64,Other,BE
Greenpower Oostende,SLOW,B-3,20.0,113160.0,38.64,Other,BE
Incinerateur THUMAIDE (IPALLE),SLOW,B-12Avel,34.0,113160.0,38.64,Other,BE
Intradel Herstal,SLOW,B-11,34.0,113160.0,38.64,Other,BE
IVBO,SLOW,B-3,16.0,113160.0,38.64,Other,BE
Beveren 2 Indaver,SLOW,B-2,21.0,113160.0,38.64,Other,BE
Beveren 3 Indaver,SLOW,B-2,24.0,113160.0,38.64,Other,BE
Beveren Sleco,SLOW,B-2,41.0,113160.0,38.64,Other,BE
DOEL 1,SLOW,B_Zandvl,445.0,92000.0,9.1,Nuclear,BE
DOEL 2,SLOW,B_Zandvl,433.0,92000.0,9.1,Nuclear,BE
DOEL 3,SLOW,B_Zandvl,1006.0,92000.0,9.1,Nuclear,BE
DOEL 4,SLOW,B_Zandvl,1039.0,92000.0,9.1,Nuclear,BE
TIHANGE 1N,SLOW,B_15,481.0,92000.0,9.1,Nuclear,BE
