"Line","LineType","FromBus","ToBus","Reactance","FlowLimitForw","FlowLimitBack","FOR"
"F-2.To.F-1","AC","F-2","F-1",0.01792,10000,10000,0.003
"F-2.To.F-3","AC","F-2","F-3",0.01746,10000,10000,0.003
"F-2.To.F-5","AC","F-2","F-5",0.0579,10000,10000,0.003
"F-2.To.F-6Aveli","AC","F-2","F-6Aveli",0.01918,10000,10000,0.003
"F-11.To.F-2","AC","F-11","F-2",0.02058,10000,10000,0.003
"F-7.To.F-3","AC","F-7","F-3",0.02754,10000,10000,0.003
"F-16.To.F-3","AC","F-16","F-3",0.02157,10000,10000,0.003
"F-5.To.F-4","AC","F-5","F-4",0.03221,10000,10000,0.003
"F-5.To.F-6Aveli","AC","F-5","F-6Aveli",0.06009,10000,10000,0.003
"F-6Aveli.To.F-8","AC","F-6Aveli","F-8",0.00722,10000,10000,0.003
"F-8.To.F-6Aveli.(2)","AC","F-8","F-6Aveli",0.00631,10000,10000,0.003
"F-8.To.F-6Aveli.(3)","AC","F-8","F-6Aveli",0.0225,10000,10000,0.003
"F-6Aveli.To.F-9","AC","F-6Aveli","F-9",0.01149,10000,10000,0.003
"F-9.To.F-6Aveli.(2)","AC","F-9","F-6Aveli",0.03581,10000,10000,0.003
"F-16.To.F-6Aveli","AC","F-16","F-6Aveli",0.11512,10000,10000,0.003
"F-6Aveli.To.B-12Avel","AC","F-6Aveli","B-12Avel",0.01865,2550,2550,0.003
"F-7.To.F-16","AC","F-7","F-16",0.08706,10000,10000,0.003
"F-8.To.F-10","AC","F-8","F-10",0.07436,10000,10000,0.003
"F-8.To.F-10.(2)","AC","F-8","F-10",0.06086,10000,10000,0.003
"F-8.To.F-17lonn","AC","F-8","F-17lonn",0.02635,10000,10000,0.003
"F-17lonn.To.F-8.(2)","AC","F-17lonn","F-8",0.04754,10000,10000,0.003
"F-8.To.F-21","AC","F-8","F-21",0.07948,10000,10000,0.003
"F-9.To.F-11","AC","F-9","F-11",0.00967,10000,10000,0.003
"F-9.To.F-23","AC","F-9","F-23",0.08408,10000,10000,0.003
"F-10.To.F-14","AC","F-10","F-14",0.01759,10000,10000,0.003
"F-11.To.F-16","AC","F-11","F-16",0.01778,10000,10000,0.003
"F-23.To.F-11","AC","F-23","F-11",0.01227,10000,10000,0.003
"F-17lonn.To.F-12choo","AC","F-17lonn","F-12choo",0.0194,10000,10000,0.003
"B_Achene.To.F-12choo","AC","B_Achene","F-12choo",0.02104,1490,1490,0.003
"B_Moncea.To.F-12choo","DC","B_Moncea","F-12choo",0.02699,290,290,0.003
"F-13.To.F-16","AC","F-13","F-16",0.07604,10000,10000,0.003
"F-21.To.F-14","AC","F-21","F-14",0.07414,10000,10000,0.003
"F-15.To.F-16","AC","F-15","F-16",0.01781,10000,10000,0.003
"F-22.To.F-15","AC","F-22","F-15",0.00737,10000,10000,0.003
"F-16.To.F-20","AC","F-16","F-20",0.05279,10000,10000,0.003
"F-16.To.F-49","AC","F-16","F-49",0.01621,10000,10000,0.003
"F-49.To.F-16.(2)","AC","F-49","F-16",0.01644,10000,10000,0.003
"F-17lonn.To.F_Moulai","AC","F-17lonn","F_Moulai",0.02797,10000,10000,0.003
"F-17lonn.To.F-27","AC","F-17lonn","F-27",0.01323,10000,10000,0.003
"F-24.To.F-18","AC","F-24","F-18",0.05724,10000,10000,0.003
"F-19.To.F-22","AC","F-19","F-22",0.00671,10000,10000,0.003
"F-22.To.F-19.(2)","AC","F-22","F-19",0.00669,10000,10000,0.003
"F-23.To.F-21","AC","F-23","F-21",0.02446,10000,10000,0.003
"F-23.To.F-21.(2)","AC","F-23","F-21",0.0489,10000,10000,0.003
"F-21.To.F-43","AC","F-21","F-43",0.08766,10000,10000,0.003
"F-26.To.F-22","AC","F-26","F-22",0.09397,10000,10000,0.003
"F-22.To.F-42","AC","F-22","F-42",0.00929,10000,10000,0.003
"F-22.To.F-44","AC","F-22","F-44",0.01834,10000,10000,0.003
"F-22.To.F-45","AC","F-22","F-45",0.05575,10000,10000,0.003
"F-22.To.F-49","AC","F-22","F-49",0.02362,10000,10000,0.003
"F-31.To.F-23","AC","F-31","F-23",0.05866,10000,10000,0.003
"F-23.To.F-33","AC","F-23","F-33",0.04458,10000,10000,0.003
"F-23.To.F-35","AC","F-23","F-35",0.00834,10000,10000,0.003
"F-24.To.F_Moulai","AC","F-24","F_Moulai",0.08608,10000,10000,0.003
"F_Moulai.To.F-38","AC","F_Moulai","F-38",0.04911,10000,10000,0.003
"F_Moulai.To.F_Vigy","AC","F_Moulai","F_Vigy",0.01197,10000,10000,0.003
"B_Aubang.To.F_Moulai","AC","B_Aubang","F_Moulai",0.05988,762,762,0.003
"F-26.To.F-30","AC","F-26","F-30",0.01755,10000,10000,0.003
"F-27.To.F-46/47","AC","F-27","F-46/47",0.01355,10000,10000,0.003
"F-28.To.F_Vigy","AC","F-28","F_Vigy",0.00501,10000,10000,0.003
"F_Vigy.To.F-28.(2)","AC","F_Vigy","F-28",0.00665,10000,10000,0.003
"F-30.To.F-29","AC","F-30","F-29",0.03607,10000,10000,0.003
"F-29.To.F-42","AC","F-29","F-42",0.03356,10000,10000,0.003
"F-30.To.F-42","AC","F-30","F-42",0.04079,10000,10000,0.003
"F-31.To.F-49","AC","F-31","F-49",0.04246,10000,10000,0.003
"F-32.To.F-42","AC","F-32","F-42",0.01193,10000,10000,0.003
"F-33.To.F-40","AC","F-33","F-40",0.03178,10000,10000,0.003
"F-34.To.F-51","AC","F-34","F-51",0.00951,10000,10000,0.003
"F-90.To.F-34","AC","F-90","F-34",0.02157,10000,10000,0.003
"F-36.To.F-43","AC","F-36","F-43",0.06674,10000,10000,0.003
"F-42.To.F-37","AC","F-42","F-37",0.04913,10000,10000,0.003
"F-37.To.F-53","AC","F-37","F-53",0.0461,10000,10000,0.003
"F-38.To.F_Vigy","AC","F-38","F_Vigy",0.01435,10000,10000,0.003
"F-38.To.F_Vigy.(2)","AC","F-38","F_Vigy",0.01769,10000,10000,0.003
"F-38.To.F-63","AC","F-38","F-63",0.05267,10000,10000,0.003
"F_Vigy.To.F-41","AC","F_Vigy","F-41",0.04845,10000,10000,0.003
"F_Vigy.To.F-41.(2)","AC","F_Vigy","F-41",0.01553,10000,10000,0.003
"F_Vigy.To.F-63","AC","F_Vigy","F-63",0.00994,10000,10000,0.003
"F_Vigy.To.F-63.(2)","AC","F_Vigy","F-63",0.00859,10000,10000,0.003
"F_Vigy.To.D_185","AC","F_Vigy","D_185",0.01223,2340,2340,0.003
"F-40.To.F-49","AC","F-40","F-49",0.02262,10000,10000,0.003
"F-40.To.F-57","AC","F-40","F-57",0.08825,10000,10000,0.003
"F-40.To.F-74","AC","F-40","F-74",0.01232,10000,10000,0.003
"F-41.To.F-48","AC","F-41","F-48",0.02526,10000,10000,0.003
"F-41.To.F-72","AC","F-41","F-72",0.03858,10000,10000,0.003
"D-185.To.F-41","AC","D-185","F-41",0.04365,1000,1000,0.003
